Product Name,Category,Sub-Category,Sales,Quantity,Discount,Profit
High Speed Automatic Electric Letter Opener,Office Supplies,Supplies,17030.311999999998,11,0.06666666666666667,-262.00480000000005
"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines,14299.89,11,0.0,3717.9714000000004
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,11304.44,40,0.05,3247.02
Tennsco 6- and 18-Compartment Lockers,Office Supplies,Storage,10925.003999999999,43,0.05454545454545456,1575.1098
Plantronics Savi W720 Multi-Device Wireless Headset System,Technology,Accessories,9367.289999999999,24,0.05714285714285715,3696.2819999999997
Adjustable Depth Letter/Legal Cart,Office Supplies,Storage,7730.196,45,0.06666666666666667,1932.549
Ativa V4110MDD Micro-Cut Shredder,Technology,Machines,7699.89,11,0.0,3772.9461
Logitech diNovo Edge Keyboard,Technology,Accessories,7399.704,31,0.04,1432.4427
Zebra ZM400 Thermal Label Printer,Technology,Machines,6965.700000000001,6,0.0,3343.536
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Office Supplies,Storage,6819.312,25,0.03333333333333333,181.66199999999998
